Page,Review_ID,Author_Name,Rating_Stars,Review_Title,Review_Text,City,Posted_Date,Helpful_Count,Certified_Buyer,Converted_Date,Sentiment,Misspelled_Title_Words,Misspelled_Text_Words,Cleaned_Review_Title,Cleaned_Review_Text,Tokenized_Review_Title,Tokenized_Review_Text,review_length,length_category,dominant_topic,aspects,complaints,has_complaint
3,P3_REV_011,Avirat  Zain,5.0,Simply awesome,Here is the quick review of s24.Camera excellent. Battery backup not good. Display excellent Design excellent. Performance not good because of heating issue,Patna,1 month ago,10,Yes,2025-10-27 04:25:15.123649,2,[],[],simply awesome,quick review camera excellent battery backup not good display excellent design excellent performance not good heating issue,"['simply', 'awesome']","['quick', 'review', 'camera', 'excellent', 'battery', 'backup', 'not', 'good', 'display', 'excellent', 'design', 'excellent', 'performance', 'not', 'good', 'heating', 'issue']",156,medium,8,"['camera', 'battery', 'performance', 'display', 'heating']","['heating', 'camera', 'battery', 'performance', 'display', 'software', 'design']",True
3,P3_REV_010,Ashish Mahto,5.0,Highly recommended,Very nice phone,Delhi Division,1 month ago,9,Yes,2025-10-27 04:25:15.123652,2,[],[],highly recommended,nice phone,"['highly', 'recommended']","['nice', 'phone']",15,short,4,[],[],False
3,P3_REV_012,Rithik mohanta,5.0,Terrific purchase,"i am upgrading after 7 years, and I liked it very much for its compact factor, colour, and design, easy to transfer data via smart switch",Dehradun,2 months ago,14,Yes,2025-09-27 04:25:15.123656,2,[],[],terrific purchase,upgrading year liked much compact factor colour design easy transfer data via smart switch,"['terrific', 'purchase']","['upgrading', 'year', 'liked', 'much', 'compact', 'factor', 'colour', 'design', 'easy', 'transfer', 'data', 'via', 'smart', 'switch']",137,medium,7,[],['design'],True
3,P3_REV_009,Gaurav Vyas,4.0,Delightful,One of the Best camera phone .,Lahar,1 month ago,6,Yes,2025-10-27 04:25:15.123660,2,[],[],delightful,one best camera phone,['delightful'],"['one', 'best', 'camera', 'phone']",30,short,9,['camera'],['camera'],True
3,P3_REV_008,Flipkart Customer,5.0,Classy product,"This phone is very awesome all over performance, camera, look, build quality is very good, only samsung should provide more battery capacity with this phone...Overall all is great !",Pune,2 months ago,17,Yes,2025-09-27 04:25:15.123683,2,[],[],classy product,phone awesome performance camera look build quality good samsung provide battery capacity phone overall great,"['classy', 'product']","['phone', 'awesome', 'performance', 'camera', 'look', 'build', 'quality', 'good', 'samsung', 'provide', 'battery', 'capacity', 'phone', 'overall', 'great']",181,medium,6,"['camera', 'battery', 'performance']","['camera', 'battery', 'performance', 'software', 'design', 'quality']",True
3,P3_REV_007,Flipkart Customer,5.0,Terrific,"Many videos i have seen battery problem. Iam not a heavy user or gamer .from 4 days i didnt feel any heavy battery draining issue.I was using old mobile before so i am having habit of using power saving mode , which i continued here worked very amazing . No doubt best buy... camera amazing but low light little noise still best . And coming to ai features it's a beast . Mobile is very smaller than i expected which is very cute and good look. I didnt feel any heating issues and i kept my phone ...",Chennai,1 month ago,15,Yes,2025-10-27 04:25:15.123688,2,[],[],terrific,many video seen battery problem iam not heavy user gamer day didnt feel heavy battery draining issue wa using old mobile habit using power saving mode continued worked amazing no doubt best buy camera amazing low light little noise still best coming feature beast mobile smaller expected cute good look didnt feel heating issue kept phone,['terrific'],"['many', 'video', 'seen', 'battery', 'problem', 'iam', 'not', 'heavy', 'user', 'gamer', 'day', 'didnt', 'feel', 'heavy', 'battery', 'draining', 'issue', 'wa', 'using', 'old', 'mobile', 'habit', 'using', 'power', 'saving', 'mode', 'continued', 'worked', 'amazing', 'no', 'doubt', 'best', 'buy', 'camera', 'amazing', 'low', 'light', 'little', 'noise', 'still', 'best', 'coming', 'feature', 'beast', 'mobile', 'smaller', 'expected', 'cute', 'good', 'look', 'didnt', 'feel', 'heating', 'issue', 'kept', 'phone']",500,long,5,"['camera', 'battery', 'heating']","['heating', 'camera', 'battery']",True
3,P3_REV_013,Rushikesh  Bhoj,5.0,Super!,Very nice product it's better than iphone 15 or 16,Nashik Division,2 months ago,7,Yes,2025-09-27 04:25:15.123692,2,[],[],super,nice product better iphone,['super'],"['nice', 'product', 'better', 'iphone']",50,medium,6,[],[],False
3,P3_REV_014,Flipkart Customer,4.0,Value-for-money,"Premium, unexpected delightful smartphoneCamera and performance is good Battery is slightly not up to the mark.It lasts hardly for a day with moderate use￼",Thane District,10 months ago,11,Yes,2025-01-30 04:25:15.123695,2,[],[],value money,premium unexpected delightful smartphonecamera performance good battery slightly not mark last hardly day moderate use,"['value', 'money']","['premium', 'unexpected', 'delightful', 'smartphonecamera', 'performance', 'good', 'battery', 'slightly', 'not', 'mark', 'last', 'hardly', 'day', 'moderate', 'use']",155,medium,1,"['camera', 'battery', 'performance']","['camera', 'battery', 'performance', 'design']",True
3,P3_REV_016,Birendar Thakur,5.0,Awesome,Greet camera very smooth  display 👌 😎 👏,Hanskunda,1 month ago,4,Yes,2025-10-27 04:25:15.123699,2,[],[],awesome,greet camera smooth display,['awesome'],"['greet', 'camera', 'smooth', 'display']",39,short,0,"['camera', 'performance', 'display']","['camera', 'performance', 'display']",True
3,P3_REV_015,Arun Kumar,4.0,Worth the money,Product is good but i see it is getting heated a bit while using it for minimum time.,Kurnool,2 months ago,9,Yes,2025-09-27 04:25:15.123702,2,[],[],worth money,product good see getting heated bit using minimum time,"['worth', 'money']","['product', 'good', 'see', 'getting', 'heated', 'bit', 'using', 'minimum', 'time']",85,medium,7,['heating'],['heating'],True
4,P4_REV_013,Prashantha S,5.0,Brilliant,"Since thousands of reviews have been written on this phone, it seems unnecessary for me to delve deeper into the details. It's a wonderful compact phone with great design, wonderful display and unmatched UI. Only area it is lacking in is battery and camera hardware. Samsung has to work seriously on these two aspects. Primary camera and selfie camera are excellent but the ultra wide and especially the ten MP telephoto lenses fall short of delivering the expected results more so in low light. R...",Chamarajanagar,1 month ago,10,Yes,2025-10-27 04:25:15.123705,2,[],['telephoto'],brilliant,since thousand review written phone seems unnecessary delve deeper detail wonderful compact phone great design wonderful display unmatched area lacking battery camera hardware samsung ha work seriously two aspect primary camera selfie camera excellent ultra wide especially ten telephone lens fall short delivering expected result low light,['brilliant'],"['since', 'thousand', 'review', 'written', 'phone', 'seems', 'unnecessary', 'delve', 'deeper', 'detail', 'wonderful', 'compact', 'phone', 'great', 'design', 'wonderful', 'display', 'unmatched', 'area', 'lacking', 'battery', 'camera', 'hardware', 'samsung', 'ha', 'work', 'seriously', 'two', 'aspect', 'primary', 'camera', 'selfie', 'camera', 'excellent', 'ultra', 'wide', 'especially', 'ten', 'telephone', 'lens', 'fall', 'short', 'delivering', 'expected', 'result', 'low', 'light']",500,long,4,"['camera', 'battery', 'display']","['camera', 'battery', 'display', 'design']",True
4,P4_REV_012,Prajwal Choudhary,5.0,Excellent,All is best if u get it i should  cary the power bank also charge twice in day,Udgir,1 month ago,4,Yes,2025-10-27 04:25:15.123708,2,[],['cary'],excellent,best get car power bank also charge twice day,['excellent'],"['best', 'get', 'car', 'power', 'bank', 'also', 'charge', 'twice', 'day']",78,medium,4,['battery'],['battery'],True
4,P4_REV_014,Kapil Mewada,5.0,Terrific purchase,Look wise best. Battery wise average. It discharges faster.  Storage and technologies are best. Overall lovely phone.,Fatehpur Fatehpur District,2 months ago,8,Yes,2025-09-27 04:25:15.123712,2,[],[],terrific purchase,look wise best battery wise average discharge faster storage technology best overall lovely phone,"['terrific', 'purchase']","['look', 'wise', 'best', 'battery', 'wise', 'average', 'discharge', 'faster', 'storage', 'technology', 'best', 'overall', 'lovely', 'phone']",117,medium,1,"['battery', 'performance']",['battery'],True
4,P4_REV_011,Shivakumar D,5.0,Just wow!,The phone offers exceptional performance.The camera's capabilities are impressive.The user interface is highly intuitive.It is exceptionally user-friendly.,Challakere,1 month ago,3,Yes,2025-10-27 04:25:15.123715,2,[],[],wow,phone offer exceptional performance camera capability impressive user interface highly intuitive exceptionally user friendly,['wow'],"['phone', 'offer', 'exceptional', 'performance', 'camera', 'capability', 'impressive', 'user', 'interface', 'highly', 'intuitive', 'exceptionally', 'user', 'friendly']",155,medium,8,"['camera', 'performance']","['camera', 'performance', 'software']",True
4,P4_REV_007,JAHANGIR ALOM KHAN,5.0,Simply awesome,Oval all good 👍,Dhubri,1 month ago,4,Yes,2025-10-27 04:25:15.123718,2,[],[],simply awesome,oval good,"['simply', 'awesome']","['oval', 'good']",15,short,0,[],[],False
4,P4_REV_008,Sudip Nath,5.0,Must buy!,Good phone but  heating issue,Bangalore Division,1 month ago,4,Yes,2025-10-27 04:25:15.123721,2,[],[],must buy,good phone heating issue,"['must', 'buy']","['good', 'phone', 'heating', 'issue']",29,short,9,['heating'],['heating'],True
4,P4_REV_010,Rahul Gupta,5.0,Perfect product!,Love it,Ghaziabad,1 month ago,4,Yes,2025-10-27 04:25:15.123725,2,[],[],perfect product,love,"['perfect', 'product']",['love'],7,short,0,[],[],False
4,P4_REV_009,AJAY METKAR,5.0,Simply awesome,Overall Good,Indore,1 month ago,4,Yes,2025-10-27 04:25:15.123728,2,[],[],simply awesome,overall good,"['simply', 'awesome']","['overall', 'good']",12,short,1,[],[],False
4,P4_REV_015,Rishab Chowdhury,4.0,Pretty good,Verry good phone at this price ..value for money..if the screen size little bit bigger then it will more effective 😄. Other wize smooth well degin camery quality and camera both are awesome..happy to byu,Uttar Madarihat,1 month ago,10,Yes,2025-10-27 04:25:15.123731,2,[],"['verry', 'wize', 'degin', 'camery']",pretty good,good phone price value money screen size little bit bigger effective size smooth well begin camera quality camera awesome happy byu,"['pretty', 'good']","['good', 'phone', 'price', 'value', 'money', 'screen', 'size', 'little', 'bit', 'bigger', 'effective', 'size', 'smooth', 'well', 'begin', 'camera', 'quality', 'camera', 'awesome', 'happy', 'byu']",203,long,3,"['camera', 'performance', 'display']","['camera', 'performance', 'display', 'price', 'quality']",True
4,P4_REV_016,Krishnajith P S,5.0,Great product,"The form factor, the size, the weight, its awsome. It always feels like a precious piece of jewelry ✨️. Especially in this particular color the bezels feels lot thinner.The software is extremely optimized. One UI is a bliss. The hardware with Snapdragon 8 Gen 3 literally delivers lightning fast performance. The battery performs all day and ends up with around 20%. The camera is good, but not the best. And the price i bought the 256 variant was a steal deal.",Kollam,1 month ago,11,Yes,2025-10-27 04:25:15.123735,2,[],"['awsome.', 'bezels']",great product,form factor size weight awesome always feel like precious piece jewelry especially particular color level feel lot thinner software extremely optimized one bliss hardware snapdragon gen literally delivers lightning fast performance battery performs day end around camera good not best price bought variant wa steal deal,"['great', 'product']","['form', 'factor', 'size', 'weight', 'awesome', 'always', 'feel', 'like', 'precious', 'piece', 'jewelry', 'especially', 'particular', 'color', 'level', 'feel', 'lot', 'thinner', 'software', 'extremely', 'optimized', 'one', 'bliss', 'hardware', 'snapdragon', 'gen', 'literally', 'delivers', 'lightning', 'fast', 'performance', 'battery', 'performs', 'day', 'end', 'around', 'camera', 'good', 'not', 'best', 'price', 'bought', 'variant', 'wa', 'steal', 'deal']",461,long,8,"['camera', 'battery', 'performance']","['camera', 'battery', 'performance', 'display', 'price', 'software']",True
5,P5_REV_016,Amitkumar  Pandey,5.0,Simply awesome,Nice product with best build up. Camera and all features are awsome except battery.,Vasai Virar,1 month ago,3,Yes,2025-10-27 04:25:15.123738,2,[],['awsome'],simply awesome,nice product best build camera feature awesome except battery,"['simply', 'awesome']","['nice', 'product', 'best', 'build', 'camera', 'feature', 'awesome', 'except', 'battery']",83,medium,2,"['camera', 'battery']","['camera', 'battery', 'software', 'design']",True
5,P5_REV_015,Kishlay Raj,5.0,Highly recommended,"Camera quality is really good, and this quality you won't be able to find in any other smartphone which is upto 30k smartphones. Performance is also very good. Display quality is awesome. Battery and charging capacity is slightly less and if you are ok with it you can definitely go fir it blindly.",Godda,1 month ago,3,Yes,2025-10-27 04:25:15.123741,2,[],[],highly recommended,camera quality really good quality not able find smartphone upto smartphones performance also good display quality awesome battery charging capacity slightly less definitely fir blindly,"['highly', 'recommended']","['camera', 'quality', 'really', 'good', 'quality', 'not', 'able', 'find', 'smartphone', 'upto', 'smartphones', 'performance', 'also', 'good', 'display', 'quality', 'awesome', 'battery', 'charging', 'capacity', 'slightly', 'less', 'definitely', 'fir', 'blindly']",298,long,6,"['camera', 'battery', 'performance', 'display']","['camera', 'battery', 'performance', 'display', 'quality']",True
5,P5_REV_012,Rushi  Tiwari,5.0,Mind-blowing purchase,"Overall good performance,  look , display!/// just they need to think about battery give upto 5 to 6 hr screen on time but if you use normly without gamming it can support a Day!",Nagpur Division,1 month ago,3,Yes,2025-10-27 04:25:15.123758,2,[],"['normly', 'gamming']",mind blowing purchase,overall good performance look display need think battery give upto screen time use normal without gaming support day,"['mind', 'blowing', 'purchase']","['overall', 'good', 'performance', 'look', 'display', 'need', 'think', 'battery', 'give', 'upto', 'screen', 'time', 'use', 'normal', 'without', 'gaming', 'support', 'day']",178,medium,6,"['battery', 'performance', 'display']","['battery', 'performance', 'display']",True
5,P5_REV_014,saranraj rajamoorthy,5.0,Best in the market!,Excellent product battery upto 8hrs without gaming,Chennai,1 month ago,3,Yes,2025-10-27 04:25:15.123764,2,[],[],best market,excellent product battery upto without gaming,"['best', 'market']","['excellent', 'product', 'battery', 'upto', 'without', 'gaming']",50,medium,0,['battery'],['battery'],True
5,P5_REV_009,Vivek Jain,5.0,Terrific purchase,Best phone go for it.,Chennai,1 month ago,3,Yes,2025-10-27 04:25:15.123768,2,[],[],terrific purchase,best phone,"['terrific', 'purchase']","['best', 'phone']",21,short,6,[],[],False
5,P5_REV_007,Santanu Kumar,5.0,Awesome,Camera amazing good looking,Coimbatore,1 month ago,7,Yes,2025-10-27 04:25:15.123771,2,[],[],awesome,camera amazing good looking,['awesome'],"['camera', 'amazing', 'good', 'looking']",27,short,3,['camera'],['camera'],True
5,P5_REV_008,Rahul Chaudhary,5.0,Great product,Osm Camera and Performance good So Nice S24 Snapdragon 8 Gen 3..,Bilari,16 days ago,2,Yes,2025-11-10 04:25:15.123774,2,[],[],great product,osm camera performance good nice snapdragon gen,"['great', 'product']","['osm', 'camera', 'performance', 'good', 'nice', 'snapdragon', 'gen']",64,medium,2,"['camera', 'performance']","['camera', 'performance']",True
5,P5_REV_013,Ramkanna Raja,5.0,Must buy!,Excellent phone but battery life could have been better,Madurai,1 month ago,3,Yes,2025-10-27 04:25:15.123777,2,[],[],must buy,excellent phone battery life could better,"['must', 'buy']","['excellent', 'phone', 'battery', 'life', 'could', 'better']",55,medium,7,['battery'],['battery'],True
5,P5_REV_011,Ravi  Kumar,5.0,Highly recommended,Very n,Samastipur,1 month ago,3,Yes,2025-10-27 04:25:15.123780,2,[],[],highly recommended,,"['highly', 'recommended']",[],6,short,0,[],[],False
5,P5_REV_010,Ashish Pandey,5.0,Highly recommended,Overall phone justify it's price very wellBest camera. Best design.. best design.. best processor..  I mean everything a super android smartphone..Bt if we talk about battery then it's little disappointing... U can't use whole day a battery life,Sumerpur,1 month ago,2,Yes,2025-10-27 04:25:15.123784,2,[],['wellbest'],highly recommended,overall phone justify price wellness camera best design best design best processor mean everything super android smartphone talk battery little disappointing cannot use whole day battery life,"['highly', 'recommended']","['overall', 'phone', 'justify', 'price', 'wellness', 'camera', 'best', 'design', 'best', 'design', 'best', 'processor', 'mean', 'everything', 'super', 'android', 'smartphone', 'talk', 'battery', 'little', 'disappointing', 'can', 'not', 'use', 'whole', 'day', 'battery', 'life']",245,long,5,"['camera', 'battery']","['camera', 'battery', 'performance', 'price', 'software', 'design']",True
6,P6_REV_008,Flipkart Customer,5.0,Perfect product!,Overall very Good but battery not enough 2 time charging require in a day,Bharuch,1 month ago,8,Yes,2025-10-27 04:25:15.123787,2,[],[],perfect product,overall good battery not enough time charging require day,"['perfect', 'product']","['overall', 'good', 'battery', 'not', 'enough', 'time', 'charging', 'require', 'day']",73,medium,9,['battery'],"['battery', 'software']",True
6,P6_REV_014,Dhrumin  Nizama,5.0,Just wow!,"I held this phone for the first time, and I was really appreciative of this product because it's an amazing phone in this segment.Camera: 5/5Display: 5/5Performance: 5/5Design: 5/5Value for money: 5/5",Anand District,1 month ago,6,Yes,2025-10-27 04:25:15.123790,2,[],[],wow,held phone first time wa really appreciative product amazing phone segment camera money,['wow'],"['held', 'phone', 'first', 'time', 'wa', 'really', 'appreciative', 'product', 'amazing', 'phone', 'segment', 'camera', 'money']",200,long,3,['camera'],['camera'],True
6,P6_REV_009,Gopal Customer,4.0,Worth the money,Phone is Good. Battery is the minus point.,Hyderabad,1 month ago,3,Yes,2025-10-27 04:25:15.123793,2,[],[],worth money,phone good battery minus point,"['worth', 'money']","['phone', 'good', 'battery', 'minus', 'point']",42,short,1,['battery'],['battery'],True
6,P6_REV_010,Rokom Mibang,4.0,Value-for-money,Everything is top notch except battery,Itanagar,1 month ago,3,Yes,2025-10-27 04:25:15.123796,2,[],[],value money,everything top notch except battery,"['value', 'money']","['everything', 'top', 'notch', 'except', 'battery']",38,short,2,['battery'],['battery'],True
6,P6_REV_007,Hari karan,5.0,Highly recommended,LIGHT WEIGHT...SMOOTH DISPLAY...GOOD CAMERA,Gummidipoondi,9 months ago,3,Yes,2025-03-01 04:25:15.123799,2,[],[],highly recommended,light weight smooth display good camera,"['highly', 'recommended']","['light', 'weight', 'smooth', 'display', 'good', 'camera']",43,short,0,"['camera', 'performance', 'display']","['camera', 'performance', 'display']",True
6,P6_REV_013,Anand Kumar  Pandey,5.0,Excellent,Better than iphone.,Bagaha 2,1 month ago,6,Yes,2025-10-27 04:25:15.123803,2,[],[],excellent,better iphone,['excellent'],"['better', 'iphone']",19,short,7,[],[],False
6,P6_REV_012,raghavendra balemane,5.0,Terrific,Good compact phone and surprisingly good battery backup too.Nice camera set,Bengaluru,2 months ago,9,Yes,2025-09-27 04:25:15.123806,2,[],[],terrific,good compact phone surprisingly good battery backup nice camera set,['terrific'],"['good', 'compact', 'phone', 'surprisingly', 'good', 'battery', 'backup', 'nice', 'camera', 'set']",75,medium,1,"['camera', 'battery']","['camera', 'battery', 'design']",True
6,P6_REV_011,ANDUKURI SARATH CHANDRASEKHAR,4.0,Very Good,"Good camera, decent battery life. Good Performance.Overall, a decent phone if you get it at around 40k",Madhurawada,2 months ago,5,Yes,2025-09-27 04:25:15.123809,2,[],[],good,good camera decent battery life good performance overall decent phone get around,['good'],"['good', 'camera', 'decent', 'battery', 'life', 'good', 'performance', 'overall', 'decent', 'phone', 'get', 'around']",102,medium,4,"['camera', 'battery', 'performance']","['camera', 'battery', 'performance']",True
6,P6_REV_015,Raju VENKATA KRISHNAM,3.0,Decent product,Phone form factor and camera are excellent. Major drawbacks are the heating issue when using camera and the faster battery drain. These may be attributed to the Samsung's Exynos processor's inferior performance. Potential buyers of this phone can buy the S23 instead or wait for the Galaxy S25 which will sport the latest Snapdragon processor which will solve both the drawbacks. S25 is rumoured to be launched in Jan 2025.,Jorhat,"Nov, 2024",10,Yes,,1,[],['exynos'],decent product,phone form factor camera excellent major drawback heating issue using camera faster battery drain may attributed samsung expo processor inferior performance potential buyer phone buy instead wait galaxy sport latest snapdragon processor solve drawback rumoured launched jan,"['decent', 'product']","['phone', 'form', 'factor', 'camera', 'excellent', 'major', 'drawback', 'heating', 'issue', 'using', 'camera', 'faster', 'battery', 'drain', 'may', 'attributed', 'samsung', 'expo', 'processor', 'inferior', 'performance', 'potential', 'buyer', 'phone', 'buy', 'instead', 'wait', 'galaxy', 'sport', 'latest', 'snapdragon', 'processor', 'solve', 'drawback', 'rumoured', 'launched', 'jan']",423,long,8,"['camera', 'battery', 'performance', 'heating']","['heating', 'camera', 'battery', 'performance', 'delivery']",True
6,P6_REV_016,Ankan Debgupta,5.0,Awesome,"If you bought this phone, this BBD sale.. its a great buy,  with a price point of 37k. UI is super smooth and you get Android 15 and oneUI 8 in a day or two post purchase along with security updates.1. The phone does heat up, if you use it for extended period of time, sometimes when you charge.2. The battery is 3840 mah, not 4k like advertised and if you are a heavy user, charging twice a day may be needed or a extra powerback needs to be carried.3. Camera is outstanding 4. Speakers are ...",Agartala,1 month ago,4,Yes,2025-10-27 04:25:15.123815,2,[],"['oneui', 'powerback']",awesome,bought phone bbd sale great buy price point super smooth get android one day two post purchase along security update phone doe heat use extended period time sometimes charge battery mah not like advertised heavy user charging twice day may needed extra paperback need carried camera outstanding speaker,['awesome'],"['bought', 'phone', 'bbd', 'sale', 'great', 'buy', 'price', 'point', 'super', 'smooth', 'get', 'android', 'one', 'day', 'two', 'post', 'purchase', 'along', 'security', 'update', 'phone', 'doe', 'heat', 'use', 'extended', 'period', 'time', 'sometimes', 'charge', 'battery', 'mah', 'not', 'like', 'advertised', 'heavy', 'user', 'charging', 'twice', 'day', 'may', 'needed', 'extra', 'paperback', 'need', 'carried', 'camera', 'outstanding', 'speaker']",495,long,5,"['camera', 'battery', 'performance', 'heating']","['heating', 'camera', 'battery', 'performance', 'price', 'software', 'speaker']",True
7,P7_REV_008,Shantanu Lahoti,5.0,Just wow!,much better than iphone15/16,Bengaluru,2 months ago,4,Yes,2025-09-27 04:25:15.123819,2,[],[],wow,much better,['wow'],"['much', 'better']",28,short,9,[],[],False
